,hst,chnst,z
36109,1991927.0,5309092.0,16038191.0
36110,1828467.0,4928865.0,17010561.0
36111,1694742.0,4945418.0,13923551.0
36112,1574294.0,4456007.0,7347514.0
36113,1408305.0,4423438.0,3010679.0
36114,1532876.0,5348753.0,1176929.0
36115,1566170.0,5843351.0,491916.0
36116,1213777.0,5387675.0,252636.0
36117,530784.0,2395349.0,179902.0
36118,178664.0,849149.0,217738.0
36119,59105.0,344321.0,449423.0
36120,51602.0,296890.0,1378580.0
36121,91760.0,304656.0,3619708.0
36122,236121.0,394381.0,6511420.0
36123,264821.0,534780.0,6973223.0
36124,328153.0,810921.0,6591551.0
36125,452067.0,1104894.0,7147519.0
36126,849540.0,2195871.0,8487175.0
36127,1162521.0,3356312.0,8577977.0
36128,1123549.0,3434245.0,8542847.0
36129,1131240.0,3751024.0,6853084.0
36130,1256818.0,3753337.0,4771729.0
36131,1318361.0,4041829.0,5546456.0
36132,1313082.0,4328290.0,7957640.0
36133,1341781.0,3955630.0,11410568.0
36134,1370269.0,3535811.0,14426728.0
36135,1360756.0,3294374.0,13221373.0
36136,1106489.0,2852652.0,7902768.0
36137,961696.0,3141369.0,3599253.0
36138,1124500.0,3495018.0,1354856.0
36139,1206921.0,3892774.0,520966.0
36140,902090.0,3551108.0,255302.0
36141,464717.0,1989208.0,167238.0
36142,156264.0,814865.0,173538.0
36143,51462.0,309888.0,361053.0
36144,34029.0,256478.0,827059.0
36145,40888.0,200488.0,1838751.0
36146,70372.0,244285.0,3393017.0
36147,121658.0,313858.0,4511160.0
36148,190610.0,348329.0,4664048.0
36149,300449.0,577929.0,5781857.0
36150,516892.0,1163998.0,6450071.0
36151,763187.0,1528051.0,6500201.0
36152,1353703.0,2551014.0,6774517.0
36153,1138846.0,2956559.0,6154546.0
36154,1177739.0,2892411.0,5711134.0
36155,1177742.0,3135097.0,7116512.0
36156,1266620.0,2998231.0,9566034.0
36157,1299297.0,3013988.0,14083883.0
36158,1451078.0,3410517.0,17518277.0
36159,1403043.0,3157321.0,16860788.0
36160,1320709.0,2869945.0,10790761.0
36161,1337685.0,3052973.0,4956712.0
36162,1379762.0,3762275.0,1935225.0
36163,1602619.0,5066167.0,719720.0
36164,1328007.0,4824857.0,283753.0
36165,693935.0,2609466.0,168359.0
36166,231465.0,879236.0,183700.0
36167,80337.0,276374.0,322026.0
36168,37395.0,146358.0,852362.0
36169,50014.0,128254.0,2086680.0
36170,102976.0,169482.0,4238323.0
36171,176122.0,226416.0,5984011.0
36172,252936.0,332088.0,5942876.0
36173,415940.0,544439.0,7501951.0
36174,741067.0,1309729.0,8003321.0
36175,1217591.0,2322973.0,8037484.0
36176,1584205.0,3094495.0,8101431.0
36177,1628730.0,3439069.0,7339163.0
36178,1765512.0,4184112.0,6447579.0
36179,1793396.0,5396286.0,7958025.0
36180,1971251.0,5933170.0,12459953.0
36181,2055058.0,5386796.0,17864663.0
36182,2162761.0,5232868.0,20543452.0
36183,2044277.0,5863813.0,17958584.0
36184,1883057.0,5344988.0,9420636.0
36185,1909831.0,5317980.0,3866533.0
36186,1964361.0,6111230.0,1348176.0
36187,2218167.0,6554992.0,505197.0
36188,1665527.0,5535682.0,259909.0
36189,714326.0,2709468.0,177609.0
36190,220984.0,875242.0,251156.0
36191,58286.0,398569.0,536620.0
36192,39251.0,260579.0,1532792.0
36193,66194.0,357087.0,4046275.0
36194,209599.0,407861.0,6714521.0
36195,259721.0,422756.0,8635264.0
36196,343092.0,505997.0,6836830.0
36197,507263.0,836050.0,8580918.0
36198,981861.0,1759417.0,10597877.0
36199,1294660.0,3001874.0,10520530.0
36200,1475056.0,3408868.0,11442654.0
36201,1587285.0,3845048.0,9065681.0
36202,1937225.0,5331624.0,6591828.0
36203,1984621.0,5719168.0,8608818.0
36204,2121090.0,5366325.0,12184784.0
36205,2243251.0,5768433.0,16764360.0
36206,2114935.0,6174762.0,17688403.0
36207,1880234.0,4872404.0,14580995.0
36208,1712243.0,3817682.0,8062642.0
36209,1624876.0,4211990.0,3114811.0
36210,1824787.0,5124658.0,1149213.0
36211,1895020.0,5717300.0,467673.0
36212,1396242.0,5020132.0,270396.0
36213,568903.0,2190174.0,177906.0
36214,146072.0,588980.0,238753.0
36215,52765.0,299926.0,492907.0
36216,41442.0,240090.0,1540712.0
36217,85821.0,211808.0,4121038.0
36218,255657.0,351893.0,6340573.0
36219,282109.0,435589.0,7697115.0
36220,356908.0,554270.0,5813451.0
36221,582583.0,895226.0,7705120.0
36222,1118386.0,1844596.0,9341001.0
36223,1509834.0,3039487.0,9403977.0
36224,1719711.0,4251264.0,9224765.0
36225,1860111.0,4659577.0,8331088.0
36226,2158110.0,4559978.0,5682007.0
36227,2173261.0,4795128.0,7570028.0
36228,2351252.0,4830664.0,10717593.0
36229,2484237.0,5006281.0,15534660.0
36230,2354056.0,4755734.0,16425760.0
36231,2060747.0,3986143.0,13642326.0
36232,1573885.0,3198403.0,7623520.0
36233,1546116.0,3615279.0,3404280.0
36234,1695396.0,4402795.0,1197940.0
36235,1740913.0,5306168.0,464356.0
36236,1451217.0,4607190.0,259419.0
36237,520814.0,1942798.0,180529.0
36238,135209.0,635289.0,275471.0
36239,46002.0,214923.0,586112.0
36240,41266.0,225400.0,1798861.0
36241,78079.0,280499.0,4470331.0
36242,225290.0,380921.0,7353052.0
36243,257224.0,430832.0,8318873.0
36244,373744.0,597300.0,6147566.0
36245,595304.0,1139099.0,8016665.0
36246,1091738.0,2310848.0,9767531.0
36247,1471341.0,3361496.0,9841550.0
36248,1646310.0,3980958.0,10066134.0
36249,1759697.0,4349514.0,8111201.0
36250,2001166.0,4358048.0,5856866.0
36251,2187474.0,4519523.0,7530966.0
36252,2261290.0,4602315.0,10421906.0
36253,2230187.0,4614945.0,14693165.0
36254,1978745.0,4047161.0,15685277.0
36255,1695131.0,3607126.0,12765184.0
36256,1543574.0,3364312.0,6566880.0
36257,1598606.0,3946588.0,2765923.0
36258,1449290.0,4329779.0,1066372.0
36259,1417003.0,4475014.0,456017.0
36260,1168353.0,3682013.0,229826.0
36261,530204.0,2051763.0,167798.0
36262,148949.0,967702.0,230158.0
36263,54616.0,285516.0,490180.0
36264,42140.0,258674.0,1501601.0
36265,76318.0,273888.0,3839110.0
36266,207818.0,356332.0,6210334.0
36267,254291.0,412302.0,7326382.0
36268,321570.0,552801.0,5543186.0
36269,476553.0,864688.0,7202733.0
36270,920991.0,1729271.0,8558253.0
36271,1135726.0,2613899.0,8618106.0
36272,1223324.0,3178494.0,8831458.0
36273,1485783.0,4275398.0,6927952.0
36274,1589928.0,3931121.0,5029026.0
